Symbol,Name,Market Cap,Last Sale,Net Change,Percentage Change
MELI,"MercadoLibre, Inc. Common Stock","75,369,352,149","$1,489.85 ",$33.34 ,2.29%
META,"Meta Platforms, Inc. Class A Common Stock","1,113,234,125,746",$439.00 ,$0.19 ,-0.04%
MNST,Monster Beverage Corporation,"55,653,225,848",$53.54 ,UNCH,UNCH
MRNA,"Moderna, Inc. Common Stock","46,821,161,274",$121.91 ,$10.45 ,9.38%
MRVL,"Marvell Technology, Inc. Common Stock","56,679,700,000",$65.51 ,$1.69 ,2.64%
MSFT,Microsoft Corporation Common Stock,"2,933,605,419,950",$395.39 ,$0.45 ,0.11%
MU,"Micron Technology, Inc. Common Stock","122,607,797,139",$110.85 ,$1.15 ,1.05%
NFLX,"Netflix, Inc. Common Stock","241,146,460,714",$560.51 ,$8.80 ,1.60%
NVDA,NVIDIA Corporation Common Stock,"2,106,887,500,000",$846.78 ,$16.37 ,1.97%
NXPI,NXP Semiconductors N.V. Common Stock,"64,191,970,058",$251.75 ,$2.32 ,0.93%
ODFL,"Old Dominion Freight Line, Inc. Common Stock","39,717,939,690",$182.25 ,$0.25 ,-0.13%
ON,ON Semiconductor Corporation Common Stock,"29,871,000,053",$69.53 ,$0.52 ,0.75%
ORLY,"O'Reilly Automotive, Inc. Common Stock","59,234,357,560","$1,004.86 ",$0.25 ,-0.02%
PANW,"Palo Alto Networks, Inc. Common Stock","94,267,656,000",$294.09 ,$6.75 ,2.35%
PAYX,"Paychex, Inc. Common Stock","42,468,474,971",$118.07 ,$1.34 ,-1.12%
PCAR,PACCAR Inc. Common Stock,"55,474,042,558",$106.28 ,$0.06 ,-0.06%
PDD,PDD Holdings Inc. American Depositary Shares,"188,735,349,557",$137.72 ,$13.23 ,10.62%
PEP,"PepsiCo, Inc. Common Stock","241,694,249,214",$175.77 ,$0.62 ,0.35%
PYPL,"PayPal Holdings, Inc. Common Stock","68,986,736,404",$66.21 ,$0.07 ,0.10%
QCOM,QUALCOMM Incorporated Common Stock,"197,308,800,000",$177.34 ,$13.23 ,8.06%
REGN,"Regeneron Pharmaceuticals, Inc. Common Stock","102,853,482,266",$937.74 ,$34.26 ,3.79%
ROP,"Roper Technologies, Inc. Common Stock","54,426,207,447",$508.72 ,$6.04 ,-1.17%
ROST,"Ross Stores, Inc. Common Stock","42,836,931,091",$128.04 ,$0.22 ,0.17%
SBUX,Starbucks Corporation Common Stock,"84,323,851,500",$74.50 ,$0.06 ,0.08%
SIRI,Sirius XM Holdings Inc. Common Stock,"11,617,981,705",$3.05 ,$0.01 ,-0.16%
SNPS,"Synopsys, Inc. Common Stock","78,793,392,196",$518.25 ,$3.93 ,-0.75%
TEAM,Atlassian Corporation Class A Common Stock,"47,730,872,316",$184.84 ,$12.07 ,6.99%
TMUS,"T-Mobile US, Inc. Common Stock","193,238,767,309",$165.06 ,$0.41 ,-0.25%
TSLA,"Tesla, Inc. Common Stock","569,159,893,944",$179.64 ,$0.35 ,-0.19%
TTD,"The Trade Desk, Inc. Class A Common Stock","42,571,729,875",$87.38 ,$1.97 ,2.31%
TTWO,"Take-Two Interactive Software, Inc. Common Stock","24,172,094,439",$142.10 ,$0.64 ,-0.45%
TXN,Texas Instruments Incorporated Common Stock,"158,624,199,476",$174.34 ,$0.86 ,-0.49%
VRSK,"Verisk Analytics, Inc. Common Stock","33,260,717,493",$232.40 ,$0.42 ,-0.18%
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,"103,950,814,393",$402.50 ,$0.36 ,0.09%
WBA,"Walgreens Boots Alliance, Inc. Common Stock","15,002,412,892",$17.36 ,$0.02 ,0.09%
WBD,"Warner Bros. Discovery, Inc. Series A Common Stock","18,809,988,597",$7.77 ,$0.15 ,1.90%
WDAY,"Workday, Inc. Class A Common Stock","66,409,200,000",$252.37 ,$7.41 ,3.02%
XEL,Xcel Energy Inc. Common Stock,"29,835,059,677",$53.67 ,$0.11 ,-0.20%
ZS,"Zscaler, Inc. Common Stock","26,156,211,131",$175.21 ,$2.90 ,1.68%
